Ticker,Model,p,q,AIC,MAE,Relative MAE,alpha,beta,delta,persistence,tomorrow_volatility,converged,train size,test size
ABC,EGARCH,2,1,17224.472594270443,1.1943602858844808,0.7469198388953028,0.2497700503170111,0.9957433568912754,,0.9957433568912754,4.155558159417806,True,4730,314
ABC,EGARCH,1,2,17236.00186337999,1.1844639302630433,0.7407309322196753,0.17124662812741914,0.32918112137892785,,0.9903802790789942,4.724738942848297,True,4730,314
ABC,EGARCH,1,1,17242.570039465587,1.1842604836907573,0.7406037023688576,0.10848533553172555,0.9937991138637298,,0.9937991138637298,5.218652750474255,True,4730,314
ABC,APARCH,1,2,17247.52058688757,1.1431572769032796,0.7148988954068213,0.08927771032270095,0.25542866386114255,1.176562072600455,1.000000039394082,4.634335984526046,True,4730,314
ABC,APARCH,1,1,17253.243824525005,1.1412272432329669,0.7136919058115293,0.060093053317753255,0.939906944323375,1.140615550234098,0.9999999976411282,5.177258915592101,True,4730,314
ABC,APARCH,2,1,17255.243806437375,1.141218583362779,0.7136864901685931,0.06007585356127152,0.9399241518561808,1.1409034580664306,1.0000000054174523,5.176964985404734,True,4730,314
ABC,GARCH,1,2,17269.219574560513,1.1657822642578497,0.7290479357840046,0.05060914883172117,0.24477556891091581,,0.993970219438312,4.5421558031006315,True,4730,314
ABC,GARCH,1,1,17273.74408380123,1.1685743005368139,0.7307939979331906,0.030337368316107272,0.9662293528565163,,0.9965667211726236,4.822117980564476,True,4730,314
ABC,GARCH,2,1,17275.74408363057,1.1685766145893013,0.7307954450775167,0.03033813279867294,0.9662286877617248,,0.9965668205604238,4.822162219130359,True,4730,314
ARCT,APARCH,1,2,8412.189730131582,3.685954144997398,0.9213653315593249,0.17816288068766853,0.5246891740725015,0.38512726065669006,1.0000000003642342,10.465049480927776,True,1589,314
ARCT,APARCH,1,1,8414.887361035697,3.7251731430537744,0.9311687701606111,0.14688744241530544,0.8531125576339916,0.3933209177556171,1.000000000049297,10.993334280148225,True,1589,314
ARCT,APARCH,2,1,8417.09193354288,3.716773762026588,0.929069205656937,0.1468331887258711,0.8531668110376924,0.3999572607659717,0.9999999997651677,10.938785280384275,True,1589,314
ARCT,EGARCH,2,1,8420.576781530242,3.795629020973883,0.948780384620945,0.4196976615407076,0.9869787372298245,,0.9869787372298245,10.222433693978616,True,1589,314
ARCT,GARCH,1,2,8499.054740842761,3.571465244507734,0.8927469332803641,0.1943448519889197,0.5312249408858799,,1.0000000000007572,10.535922344538038,True,1589,314
ARCT,GARCH,1,1,8499.73704914983,3.579775111529103,0.8948241222746302,0.1564286153931558,0.8435713845102153,,0.9999999999033711,10.876089876877279,True,1589,314
ARCT,GARCH,2,1,8501.737049292997,3.579785335790047,0.8948266779981157,0.1564305160756864,0.8435694848443073,,1.0000000009199936,10.876085815765714,True,1589,314
ARCT,EGARCH,1,2,8508.710871729232,4.167640771820784,1.041770887671075,0.7101721751764849,0.4519322952102139,,0.8563422804525311,8.55893331181873,True,1589,314
ARCT,EGARCH,1,1,8524.68547503537,4.095347933398481,1.0237000944864307,0.6936149406096902,0.8131778311454002,,0.8131778311454002,9.241699440689912,True,1589,314
BBBY,APARCH,1,1,19485.46248303661,2.2353071659433534,0.6909859206310133,0.04367395634546219,0.9563260441715543,0.40559929425126756,1.0000000005170164,7.931779422780112,True,4730,314
BBBY,APARCH,2,1,19487.46236060144,2.23537475596264,0.6910068142927049,0.043646071007364326,0.9563539289685508,0.4052285322644326,0.999999999975915,7.930488120681839,True,4730,314
BBBY,EGARCH,1,1,19487.625685897314,2.3259147179043813,0.7189948420275011,0.08090087665089281,0.9963659978248365,,0.9963659978248365,8.534805601068113,True,4730,314
BBBY,APARCH,1,2,19488.38490907511,2.234998227796226,0.6908904205971641,0.047841320766810455,0.853847256146611,0.4053631076879997,0.9999999999384783,7.8578439699395695,True,4730,314
BBBY,EGARCH,2,1,19489.543399646,2.3237050236624235,0.718311773662958,0.09087068674746276,0.996397828414401,,0.996397828414401,8.451876303355304,True,4730,314
BBBY,EGARCH,1,2,19489.58675812273,2.324885920607532,0.718676816631199,0.08569521237204339,0.934421507971322,,0.9961558284939642,8.496365063423385,True,4730,314
BBBY,GARCH,1,1,19570.418810785763,2.440697085480295,0.7544767664538373,0.024216492896658875,0.9723515527003138,,0.9965680455969727,8.415679554669751,True,4730,314
BBBY,GARCH,1,2,19572.24319871513,2.437843013052309,0.7535945056646955,0.02827679078792663,0.79994563192326,,0.9960056346211583,8.385535081306772,True,4730,314
BBBY,GARCH,2,1,19572.418810832874,2.440698914262934,0.7544773317734832,0.024216526082563156,0.9723515646460725,,0.9965680907554383,8.415686854735327,True,4730,314
BRKL,EGARCH,2,1,17540.224463538274,0.9783745649998057,0.7827554585778422,0.26168921098242226,0.9946627854865372,,0.9946627854865372,3.7971128458749623,True,4730,314
BRKL,APARCH,1,2,17546.5353233023,0.9752355526986377,0.7802440696873485,0.08314374015371351,0.5631647481534154,1.4119011041522356,1.0000000000001572,4.611083102717351,True,4730,314
BRKL,APARCH,1,1,17550.424669350585,0.9766059895605225,0.7813404973467049,0.06261346401553644,0.9373865359844636,1.406142815261582,1.0,4.705675372044908,True,4730,314
BRKL,APARCH,2,1,17552.424667690306,0.976608533422633,0.7813425325814954,0.06261518595199506,0.9373848180076783,1.406150789890877,1.0000000039596733,4.705713797547001,True,4730,314
BRKL,EGARCH,1,2,17556.654180881826,0.9813756825398329,0.7851565237938932,0.15099670214556957,0.623072051301185,,0.9901496720295374,4.401336749897026,True,4730,314
BRKL,GARCH,1,2,17560.654330222744,0.9766312981895573,0.7813607456935393,0.07194070556094488,0.5483846850737163,,0.9855792223300273,4.6900932684577725,True,4730,314
BRKL,EGARCH,1,1,17560.952036316055,0.9819750486863397,0.7856360508990005,0.10927703304697096,0.9927616500622679,,0.9927616500622679,4.487565435153845,True,4730,314
BRKL,GARCH,1,1,17564.454114082764,0.9785408132881119,0.7828884666913054,0.05426731144335776,0.9348317070064854,,0.9890990184498432,4.774418538066405,True,4730,314
BRKL,GARCH,2,1,17566.45411369731,0.9785445582833622,0.7828914629011204,0.05427133276542282,0.9348275641239193,,0.9890988968893422,4.7744927221954905,True,4730,314
DCAR,EGARCH,2,1,8704.366176794101,6.299838783813281,1.1484731899618952,0.4462817179842024,0.9713900215422165,,0.9713900215422165,10.894854314216495,True,1384,314
DCAR,EGARCH,1,2,8708.510003019375,6.227676613579277,1.1353178822330432,0.4188158826096436,0.6000705645744159,,0.9129582207595442,9.990079233561028,True,1384,314
DCAR,EGARCH,1,1,8710.832400524,6.174125745930436,1.1255554521289723,0.38904589869590994,0.9033669280284278,,0.9033669280284278,9.115171111093602,True,1384,314
DCAR,APARCH,1,2,8712.291830480044,5.292198169956279,0.96477829397425,0.2427521172642564,0.4510635274343946,0.755292423215588,1.0,10.215260961494733,True,1384,314
DCAR,APARCH,1,1,8714.102807642521,5.412096831048557,0.986636059307962,0.21310612702108067,0.7868938729789193,0.7566328893984025,1.0,10.06797358797216,True,1384,314
DCAR,APARCH,2,1,8716.102807819085,5.4122473441870795,0.9866634981536629,0.21310617541195362,0.7868938245878475,0.7565408939371263,0.9999999999999831,10.068212244346173,True,1384,314
DCAR,GARCH,1,2,8730.410573265708,5.92399583762916,1.0799562703801087,0.33630405797885476,0.38881308239398626,,0.9996503469714856,10.918306002973388,True,1384,314
DCAR,GARCH,1,1,8731.436958582191,5.935364766832932,1.082028848875713,0.31985739131738034,0.6801426086826197,,1.0,9.532639996128141,True,1384,314
DCAR,GARCH,2,1,8733.436959483612,5.935169162049239,1.0819931897330575,0.31982725836024306,0.6801727416397589,,1.000000000000002,9.533046070078184,True,1384,314
ETH,EGARCH,2,1,20856.94184639008,1.198360636792808,0.7372715479821195,0.1371399302188606,0.9960367411599879,,0.9960367411599879,4.7773264280370915,True,4730,314
ETH,EGARCH,1,1,20857.38975979534,1.2048040728342182,0.7412357653626972,0.08178550446278794,0.9958479334750816,,0.9958479334750816,4.9017489373749985,True,4730,314
ETH,EGARCH,1,2,20857.81118742827,1.201308147922165,0.7390849554208447,0.11352839514581811,0.6033807249840342,,0.9942873192125161,4.865686278743082,True,4730,314
ETH,APARCH,1,1,20868.46812556167,1.1903966453968111,0.7323718340860111,0.038572317502108024,0.9614276849641727,1.3227005317409637,1.0000000024662807,4.8143493126502195,True,4730,314
ETH,APARCH,1,2,20869.14139937183,1.187720819968506,0.7307255767782476,0.052639177871201565,0.5747263586465957,1.3244826519883826,1.0000000000000067,4.805149388445888,True,4730,314
ETH,APARCH,2,1,20870.46804034798,1.1904000763924811,0.7323739449493115,0.038572015238341036,0.9614280235192121,1.3227504919554203,1.0000000387575532,4.81439072337112,True,4730,314
ETH,GARCH,1,1,20887.855371957532,1.1925664533266696,0.7337067725028403,0.027152878619102188,0.9695562462678857,,0.9967091248869879,4.951920222835885,True,4730,314
ETH,GARCH,1,2,20888.718418240576,1.1913483955077917,0.7329573825895842,0.03718892231645723,0.5893997295000599,,0.9955028483934165,4.9477442789524275,True,4730,314
ETH,GARCH,2,1,20889.85537192653,1.1925652651331506,0.7337060414864434,0.02715252159375041,0.9695565111919953,,0.9967090327857456,4.95189530321725,True,4730,314
EXPI,EGARCH,1,1,6273.139386509383,11.551747084236416,4.616238448329982,1.8485752039764185,0.8277216664479148,,0.8277216664479148,16.262509668993946,True,1063,314
EXPI,EGARCH,1,2,6274.950711365022,11.524943825164241,4.605527494033003,1.9133043588198162,0.7630358471908895,,0.8252795521287586,16.460081760847462,True,1063,314
EXPI,EGARCH,2,1,6275.09246708719,11.538129490781955,4.610796669002595,1.8765749263893199,0.8321662409829162,,0.8321662409829162,16.345033033726597,True,1063,314
EXPI,GARCH,1,1,6295.874051159652,3.145636275412143,1.257039910338282,0.5284303384469403,0.47156966155305974,,1.0,5.218967282065626,True,1063,314
EXPI,APARCH,1,1,6296.663318471328,3.3612778972296025,1.3432132950596627,0.4806660176355152,0.5193339823644848,1.5087152151959424,1.0,5.644996649987735,True,1063,314
EXPI,GARCH,2,1,6296.827679747599,3.2529194357237734,1.2999117500589346,0.49984773992802745,0.3282278460385474,,1.000000000000039,5.078877048235289,True,1063,314
EXPI,GARCH,1,2,6297.8740517886545,3.1457841426918347,1.2570990001553275,0.5284651578602895,0.4715348421397074,,1.0000000000000004,5.219016846284105,True,1063,314
EXPI,APARCH,2,1,6297.8996681027875,3.4215818999757732,1.3673116114472286,0.4622997040243607,0.4162803737759406,1.553168959272242,1.0,5.494510937014106,True,1063,314
EXPI,APARCH,1,2,6298.66331878472,3.3613166088066064,1.343228764743067,0.48056766679956053,0.5194323332004134,1.5083476115417571,0.9999999999999986,5.645423818895459,True,1063,314
FMO,EGARCH,2,1,12397.10572386348,1.4515243412370695,0.6970016036429875,0.40961881023143915,0.9899283678035735,,0.9899283678035735,14.882332449941112,True,3480,314
FMO,EGARCH,1,2,12407.877921556146,1.4520096006462837,0.6972346183963721,0.33259688301025,0.6134376030487974,,0.9812315669674301,14.838529924351514,True,3480,314
FMO,EGARCH,1,1,12415.709463046978,1.4570942808149698,0.6996762104047882,0.2556280590668371,0.9841055940340868,,0.9841055940340868,14.199930657416393,True,3480,314
FMO,APARCH,1,2,12416.143024624427,1.4050719842978667,0.6746958342116413,0.17176171076976274,0.5262064576593973,1.546317934949593,0.9999999999994179,15.864375392870931,True,3480,314
FMO,APARCH,1,1,12420.811470604816,1.4078856246060063,0.6760469047732114,0.14145707770703944,0.8585429651390931,1.5061511466161657,1.0000000428461326,15.47554163890267,True,3480,314
FMO,GARCH,1,2,12421.2134828403,1.416041340287827,0.6799631649058113,0.17939367958683464,0.495356462223042,,0.9999999999999999,17.165153263502944,True,3480,314
FMO,APARCH,2,1,12422.811494840184,1.4078834253273549,0.6760458487104893,0.14145070100049906,0.8585493079448584,1.5062782656948372,1.0000000095883972,15.475945825424429,True,3480,314
FMO,GARCH,1,1,12426.312846180423,1.4176769610181548,0.68074856701007,0.14500095334425794,0.8549990466558726,,1.0000000000001306,16.89252643461927,True,3480,314
FMO,GARCH,2,1,12428.312846677441,1.4176768680843688,0.6807485223845711,0.14500169413102748,0.8549983051842559,,1.0000000018392357,16.89252056354908,True,3480,314
GNW,EGARCH,2,1,17230.825539028745,1.8363010363879555,0.8321337854262753,0.30419980046300776,0.9956022148689739,,0.9956022148689739,9.931588109907993,True,3627,314
GNW,EGARCH,1,2,17240.188400236002,1.8353732665397786,0.8317133594609953,0.20528642176734302,0.3677022146350409,,0.9920386442871165,9.697539292711873,True,3627,314
GNW,EGARCH,1,1,17251.9154669659,1.841158851536964,0.8343351413198583,0.12569317582260908,0.9951184090083175,,0.9951184090083175,9.445335924499634,True,3627,314
GNW,APARCH,1,2,17267.886640024473,1.7509094694147764,0.7934379471836285,0.09348886561563567,0.3331142765211683,1.4617174944137865,1.0000000000011158,9.376725166160252,True,3627,314
GNW,APARCH,1,1,17276.17262369992,1.7597681068918858,0.7974523061539017,0.05866481300186565,0.9413351873637564,1.4810102512055587,1.000000000365622,9.073445774668357,True,3627,314
